scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3D_br,mMed1000_mDM10_lam4p0,1000.0,10.0,4.0,318.2462,1.419631153,10000
S3D_br,mMed1000_mDM10_lam4p5,1000.0,10.0,4.5,402.7804,2.247037464,10000
S3D_br,mMed1000_mDM10_lam5p0,1000.0,10.0,5.0,497.2597,3.414060777,10000
S3D_br,mMed1000_mDM50_lam1p0,1000.0,50.0,1.0,19.79502,0.015576396507,10000
S3D_br,mMed1000_mDM50_lam1p5,1000.0,50.0,1.5,44.5388,0.04143867265,10000
S3D_br,mMed1000_mDM50_lam2p0,1000.0,50.0,2.0,79.18008,0.10200708228,10000
S3D_br,mMed1000_mDM50_lam2p2,1000.0,50.0,2.2,95.8079,0.1404059835,10000
S3D_br,mMed1000_mDM50_lam2p5,1000.0,50.0,2.5,123.7189,0.2146189745,10000
S3D_br,mMed1000_mDM50_lam3p0,1000.0,50.0,3.0,178.1552,0.4167716171,10000
S3D_br,mMed1000_mDM50_lam3p5,1000.0,50.0,3.5,242.489,0.7515046701,10000
S3D_br,mMed1000_mDM50_lam4p0,1000.0,50.0,4.0,316.7203,1.241064075,10000
S3D_br,mMed1000_mDM50_lam4p5,1000.0,50.0,4.5,400.8492,1.937723375,10000
S3D_br,mMed1000_mDM50_lam5p0,1000.0,50.0,5.0,494.8755,2.927926457,10000
S3D_br,mMed1000_mDM100_lam1p0,1000.0,100.0,1.0,19.49847,0.014159421482,10000
S3D_br,mMed1000_mDM100_lam1p5,1000.0,100.0,1.5,43.87156,0.03474980968,10000
S3D_br,mMed1000_mDM100_lam2p0,1000.0,100.0,2.0,77.99388,0.08110352659,10000
S3D_br,mMed1000_mDM100_lam2p2,1000.0,100.0,2.2,94.37259,0.1105995371,10000
S3D_br,mMed1000_mDM100_lam2p5,1000.0,100.0,2.5,121.8654,0.1674130436,10000
S3D_br,mMed1000_mDM100_lam3p0,1000.0,100.0,3.0,175.4862,0.3194913882,10000
S3D_br,mMed1000_mDM100_lam3p5,1000.0,100.0,3.5,238.8563,0.5670899479,10000
S3D_br,mMed1000_mDM100_lam4p0,1000.0,100.0,4.0,311.9755,0.927533363,10000
S3D_br,mMed1000_mDM100_lam4p5,1000.0,100.0,4.5,394.844,1.465153929,10000
S3D_br,mMed1000_mDM100_lam5p0,1000.0,100.0,5.0,487.4617,2.19045559,10000
S3D_br,mMed1000_mDM200_lam1p0,1000.0,200.0,1.0,18.33465,0.011648767078,10000
S3D_br,mMed1000_mDM200_lam1p5,1000.0,200.0,1.5,41.25296,0.02443026727,10000
