scenario,run_tag,m_med,m_dm,lambda,width,xsec_pb,nevents
S3M_br,mMed500_mDM100_lam1p0,500.0,100.0,1.0,9.167325,0.63147257962,10000
S3M_br,mMed500_mDM100_lam1p5,500.0,100.0,1.5,20.62648,0.9474308213,10000
S3M_br,mMed500_mDM100_lam2p0,500.0,100.0,2.0,36.6693,1.47466385,10000
S3M_br,mMed500_mDM100_lam2p2,500.0,100.0,2.2,44.36985,1.745093276,10000
S3M_br,mMed500_mDM100_lam2p5,500.0,100.0,2.5,57.29578,2.169369669,10000
S3M_br,mMed500_mDM100_lam3p0,500.0,100.0,3.0,82.50592,3.290965537,10000
S3M_br,mMed500_mDM100_lam3p5,500.0,100.0,3.5,112.2997,4.951387733,10000
S3M_br,mMed500_mDM100_lam4p0,500.0,100.0,4.0,146.6772,7.24446335,10000
S3M_br,mMed500_mDM100_lam4p5,500.0,100.0,4.5,185.6383,10.42542765,10000
S3M_br,mMed500_mDM100_lam5p0,500.0,100.0,5.0,229.1831,14.69802025,10000
S3M_br,mMed500_mDM200_lam1p0,500.0,200.0,1.0,7.018733,0.5582905189,10000
S3M_br,mMed500_mDM200_lam1p5,500.0,200.0,1.5,15.79215,0.75432115733,10000
S3M_br,mMed500_mDM200_lam2p0,500.0,200.0,2.0,28.07493,1.0366618028,10000
S3M_br,mMed500_mDM200_lam2p2,500.0,200.0,2.2,33.97067,1.1705024563,10000
S3M_br,mMed500_mDM200_lam2p5,500.0,200.0,2.5,43.86708,1.4054836861000002,10000
S3M_br,mMed500_mDM200_lam3p0,500.0,200.0,3.0,63.1686,1.78246481,10000
S3M_br,mMed500_mDM200_lam3p5,500.0,200.0,3.5,85.97948,2.393438374,10000
S3M_br,mMed500_mDM200_lam4p0,500.0,200.0,4.0,112.2997,3.1836990160000003,10000
S3M_br,mMed500_mDM200_lam4p5,500.0,200.0,4.5,142.1293,4.204140424,10000
S3M_br,mMed500_mDM200_lam5p0,500.0,200.0,5.0,175.4683,5.56619858,10000
S3M_br,mMed750_mDM1_lam1p0,750.0,1.0,1.0,14.92072,0.080067928,10000
